MS4647A
!7/22/2011.3:43:55.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,OFF               ,OFF               ,OFF               ,OFF               
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
90,13.379500000,-3.491604E+001,22.1723300,13.379500000,5.800959E-002,-5.8816070,13.379500000,6.560031E-002,-5.8003650,13.379500000,-2.297897E+001,-128.1461000
91,13.395000000,-3.340069E+001,12.8763600,13.395000000,5.443524E-002,-5.9345730,13.395000000,6.336255E-002,-5.9041830,13.395000000,-2.318615E+001,-126.7975000
92,13.410500000,-3.247363E+001,3.8597350,13.410500000,4.511193E-002,-6.0105200,13.410500000,5.274464E-002,-5.9964260,13.410500000,-2.346220E+001,-125.3273000
93,13.426000000,-3.212882E+001,-2.6397520,13.426000000,3.834081E-002,-6.0812250,13.426000000,4.032991E-002,-6.0551020,13.426000000,-2.383358E+001,-123.8540000
94,13.441500000,-3.207715E+001,-7.0322150,13.441500000,1.938049E-002,-6.0831370,13.441500000,2.410530E-002,-6.0720540,13.441500000,-2.424041E+001,-122.1023000
95,13.457000000,-3.216455E+001,-9.2668860,13.457000000,9.355459E-003,-6.0976430,13.457000000,1.208899E-002,-6.0825730,13.457000000,-2.471493E+001,-120.7701000
96,13.472500000,-3.233784E+001,-9.2593620,13.472500000,1.155396E-003,-6.0363150,13.472500000,5.751676E-003,-6.0210240,13.472500000,-2.514259E+001,-118.9054000
97,13.488000000,-3.168293E+001,-4.6673710,13.488000000,7.523708E-003,-5.9501810,13.488000000,7.879267E-003,-5.9703580,13.488000000,-2.562406E+001,-116.6316000
98,13.503500000,-3.142058E+001,-7.7404960,13.503500000,1.130676E-002,-5.9100550,13.503500000,1.690579E-002,-5.9045760,13.503500000,-2.610665E+001,-114.3381000
99,13.519000000,-3.041577E+001,-7.0514270,13.519000000,2.108669E-002,-5.8961980,13.519000000,2.301985E-002,-5.8734290,13.519000000,-2.668491E+001,-111.4444000
100,13.534500000,-2.950760E+001,-8.3888570,13.534500000,2.520643E-002,-5.9137620,13.534500000,2.939271E-002,-5.8739600,13.534500000,-2.730550E+001,-108.4074000
101,13.550000000,-2.901663E+001,-13.1269500,13.550000000,2.934232E-002,-5.9124390,13.550000000,3.168608E-002,-5.8991680,13.550000000,-2.800408E+001,-104.9115000
102,13.565500000,-2.893379E+001,-18.1717100,13.565500000,2.942768E-002,-5.9447940,13.565500000,3.286545E-002,-5.9187740,13.565500000,-2.875940E+001,-101.4980000
103,13.581000000,-2.923732E+001,-23.1330900,13.581000000,1.978455E-002,-5.9497600,13.581000000,2.618018E-002,-5.9316800,13.581000000,-2.975051E+001,-97.6758000
104,13.596500000,-2.981965E+001,-27.0861600,13.596500000,9.664895E-003,-5.9735710,13.596500000,1.712342E-002,-5.9477400,13.596500000,-3.104591E+001,-93.0461300
105,13.612000000,-3.077384E+001,-28.8365100,13.612000000,1.090965E-002,-5.9725600,13.612000000,1.154944E-002,-5.9569260,13.612000000,-3.241163E+001,-88.2593600
106,13.627500000,-3.181497E+001,-28.6247400,13.627500000,-5.897224E-004,-5.9206000,13.627500000,1.255806E-003,-5.9033440,13.627500000,-3.401202E+001,-83.8884000
107,13.643000000,-3.275945E+001,-26.6173100,13.643000000,-1.096722E-002,-5.9215740,13.643000000,-6.617351E-003,-5.8711610,13.643000000,-3.581570E+001,-77.1497000
